year,date,event,source_url
2001,1 June 2001,"The Royal Massacre (राजदरबार हत्याकाण्ड) happened on 1 June 2001, in which members of the royal family, King Birendra, Queen Aishwarya, Crown Prince Dipendra, Prince Nirajan, as well as many others, were killed. However, after the massacre, the Crown Prince survived for a short while in a coma.",https://en.wikipedia.org/wiki/Nepali_royal_massacre
2002,22 May 2002,"King Gyanendra suspended the Parliament, appointed a government led by himself, and enforced martial law. ",https://en.wikipedia.org/wiki/2006_democracy_movement_in_Nepal
2005,22 November 2005, the Seven Party Alliance (SPA) of parliamentary parties and the Communist Party of Nepal (Maoist) agreed on a historic and unprecedented 12-point memorandum of understanding (MOU) for peace and democracy.,https://en.wikipedia.org/wiki/2006_democracy_movement_in_Nepal
2006,April 2006,"the SPA called for a protest movement, and the Communist Party of Nepal (Maoist) supported it. This led to a countrywide uprising called the Loktantra Andolan ",
2006,,", the parliament assumed total legislative power and gave executive power to the Government of Nepal (previously known as His Majesty's Government). Names of many institutions (including the army) were stripped of the ""royal"" adjective and the Raj Parishad (a council of the King's advisers) was abolished, with his duties assigned to the Parliament itself. The activities of the King became subject to parliamentary scrutiny and the King's properties were subjected to taxation. ",
2006,19 July 2006,sent a letter to the United Nations announcing the intention of the Nepali government to hold elections to a constituent assembly by April 2007.,
2007,23 December 2007,an agreement was made for the monarchy to be abolished and the country to become a federal republic with the Prime Minister becoming head of state.,
2007,," a political movement launched by various political parties, especially those based in Madhes, for equal rights, dignity and identity of Madhesis and Tharus, Muslims and Janjati groups in Nepal. In nearly a decade, Nepal witnessed three Madhes Movements - the first Madhes Movement erupted in 2007,the second Madhes Movement in 2008 and the third Madhes Movement in 2015.",
2007,21 October 2017," the first Madhes Movement erupted in 2007: When the then seven-party alliance of the mainstream political parties and the CPN-Maoist jointly announced the Interim Constitution in 2007, it totally ignored the concept of federalism, the most desired political agenda of Madhesis and other marginalised communities. A day after the promulgation of the interim statute, a group of Madhesi activists under the Upendra Yadav-led Madhesi Janaadhikar Forum-Nepal (then a socio-intellectual NGO) burnt copies of the interim constitution at Maitighar Mandala, Kathmandu."" This triggered the Madhes movement I.",
2008,,"The second Madhes Movement took place, jointly launched by Madhesi Janaadhikar Forum-Nepal, Terai Madhes Loktantrik Party and Sadbhawana Party led by Rajendra Mahato with three key agenda: federalism, proportional representation and population-based election constituency, which were later ensured in the Interim Constitution of Nepal 2008.",
2012,, the constitutional assembly was dissolved and another election to select the new constitutional assembly members were declared by Dr. Baburam Bhattarai.,
2015,,"Third Madhesh Movement:  The Constitution of Nepal 2015 backtracked from those issues, that were already ensured by the Interim Constitution of Nepal 2008. Supreme Court of Nepal Advocate Dipendra Jha writes in The Kathmandu Post: ""many other aspects of the new constitution are more regressive than the Interim Constitution of Nepal 2007. Out of all its deficiencies, the most notable one concerns the issue proportional representation or inclusion in all organs of the state.""This triggered the third Madhes Movement by Madhesis",
2017,June 2017," Nepali Congress leader Sher Bahadur Deuba was elected the 40th Prime Minister of Nepal, succeeding prime minister and chairman of CPN (Maoist Centre) Pushpa Kamal Dahal. ",
2017,November 2017,Nepal had its first general election since the civil war ended and the monarchy was abolished.,
2018,,"The alliance of communists won the election, and UML leader Khadga Prasad Sharma Oli was sworn in February 2018 as the new prime minister. ",
2021,22 May 2021,Khadga Prasad Sharma became prime minister and dissolved the parliament for the second time.,
2021,12 July 2021,"the Supreme Court stated the decision to dissolve parliament was unlawful. Similarly, it ordered the appointment Deuba as the next Prime Minister of Nepal citing article 76(5) of the Constitution of Nepal within 28 hours.",
2021,13 July 2021,President Bidya Devi Bhandari appointed Sher Bahadur Deuba as the Prime Minister for the fifth time without including any article of Constitution and stating as per the order of Court. ,
2022,December 2022,"former Maoist guerilla chief, Pushpa Kamal Dahal aka Prachanda, became the new prime minister after the 2022 Nepalese general election",
2023,March 2023, Ram Chandra Paudel of Nepali Congress was elected as Nepal’s third president to succeed Bidya Devi Bhandari.,
2024,15 July 2024,"K. P. Sharma Oli was sworn in as Nepali prime minister for fourth time. New coalition was formed between Nepali Congress, led by Sher Bahadur Deuba, and UML, led by Oli. The party leaders will take turns as prime ministers for 18 months each until the next general elections in 2027",
